code,neuromusc,cvd,respiratory,renal,gi,hemato_immu,metabolic,congeni_genetic,malignancy,neonatal,tech_dep,transplant,ccc_flag
00CD0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00CK0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00CM0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00CM4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00CQ0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00CU4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00CW0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00DG4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00DJ3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00DN4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00DQ4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00DR0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00DS3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00DS4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00DT3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00F3XZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00F4XZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00F50ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00F5XZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00H002Z,0,0,0,0,0,0,0,0,0,0,0,0,0
